Area,Year,Subgroup,Rape_Cases_Reported,Victims_Upto_10,Victims_Between_10-14,Victims_Between_14-18,Victims_Between_18-30,Victims_Between_30-50,Victims_Above_50,Victims_Total
Arunachal Pradesh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Victims of Other Rape,59,4,12,0,42,1,0,59
Arunachal Pradesh,2010,Total Rape Victims,47,2,10,0,34,1,0,47
Arunachal Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Victims of Other Rape,47,2,10,0,34,1,0,47
Assam,2001,Total Rape Victims,817,8,73,245,370,119,2,817
Assam,2001,Victims of Incest Rape,8,0,1,7,0,0,0,8
Assam,2001,Victims of Other Rape,809,8,72,238,370,119,2,809
Assam,2002,Total Rape Victims,970,0,0,3,621,346,0,970
Assam,2002,Victims of Incest Rape,10,0,0,0,5,5,0,10
Assam,2002,Victims of Other Rape,960,0,0,3,616,341,0,960
Assam,2003,Total Rape Victims,1095,0,5,0,827,260,3,1095
Assam,2003,Victims of Incest Rape,19,0,0,0,19,0,0,19
Assam,2003,Victims of Other Rape,1076,0,5,0,808,260,3,1076
Assam,2004,Total Rape Victims,1171,7,0,0,857,293,14,1171
Assam,2004,Victims of Incest Rape,15,0,0,0,14,1,0,15
Assam,2004,Victims of Other Rape,1156,7,0,0,843,292,14,1156
Assam,2005,Total Rape Victims,1238,19,34,37,847,286,15,1238
Assam,2005,Victims of Incest Rape,7,0,1,0,3,2,1,7
Assam,2005,Victims of Other Rape,1231,19,33,37,844,284,14,1231
Assam,2006,Total Rape Victims,1244,8,21,32,892,289,2,1244
Assam,2006,Victims of Incest Rape,12,0,3,0,6,3,0,12
Assam,2006,Victims of Other Rape,1232,8,18,32,886,286,2,1232
Assam,2007,Total Rape Victims,1437,0,0,40,898,485,14,1437
Assam,2007,Victims of Incest Rape,1,0,0,1,0,0,0,1
Assam,2007,Victims of Other Rape,1436,0,0,39,898,485,14,1436
Assam,2008,Total Rape Victims,1438,2,5,20,849,541,21,1438
Assam,2008,Victims of Incest Rape,7,0,0,0,5,2,0,7
Assam,2008,Victims of Other Rape,1431,2,5,20,844,539,21,1431
Assam,2009,Total Rape Victims,1631,1,6,3,1230,377,14,1631
Assam,2009,Victims of Incest Rape,9,0,0,0,7,2,0,9
Assam,2009,Victims of Other Rape,1622,1,6,3,1223,375,14,1622
Assam,2010,Total Rape Victims,1721,1,9,29,1116,556,10,1721
Assam,2010,Victims of Incest Rape,13,0,0,0,10,3,0,13
Assam,2010,Victims of Other Rape,1708,1,9,29,1106,553,10,1708
Bihar,2001,Total Rape Victims,888,1,15,198,562,112,0,888
Bihar,2001,Victims of Incest Rape,8,0,2,5,1,0,0,8
Bihar,2001,Victims of Other Rape,880,1,13,193,561,112,0,880
Bihar,2002,Total Rape Victims,1040,0,2,2,805,231,0,1040
Bihar,2002,Victims of Incest Rape,3,0,0,1,2,0,0,3
Bihar,2002,Victims of Other Rape,1037,0,2,1,803,231,0,1037
Bihar,2003,Total Rape Victims,985,1,1,1,686,296,0,985
Bihar,2003,Victims of Incest Rape,1,0,0,1,0,0,0,1
Bihar,2003,Victims of Other Rape,984,1,1,0,686,296,0,984
Bihar,2004,Total Rape Victims,1390,0,3,0,1018,363,6,1390
Bihar,2004,Victims of Incest Rape,6,0,0,0,5,1,0,6
Bihar,2004,Victims of Other Rape,1384,0,3,0,1013,362,6,1384
Bihar,2005,Total Rape Victims,1147,0,6,2,872,267,0,1147
Bihar,2005,Victims of Incest Rape,10,0,0,0,8,2,0,10
Bihar,2005,Victims of Other Rape,1137,0,6,2,864,265,0,1137
Bihar,2006,Total Rape Victims,1232,0,0,17,956,250,9,1232
Bihar,2006,Victims of Incest Rape,7,0,0,2,3,2,0,7
Bihar,2006,Victims of Other Rape,1225,0,0,15,953,248,9,1225
Bihar,2007,Total Rape Victims,1555,9,28,79,1186,253,0,1555
Bihar,2007,Victims of Incest Rape,2,0,2,0,0,0,0,2
Bihar,2007,Victims of Other Rape,1553,9,26,79,1186,253,0,1553
Bihar,2008,Total Rape Victims,1302,0,11,80,1028,159,24,1302
Bihar,2008,Victims of Incest Rape,3,0,0,0,1,2,0,3
Bihar,2008,Victims of Other Rape,1299,0,11,80,1027,157,24,1299
Bihar,2009,Total Rape Victims,929,12,19,32,765,101,0,929
Bihar,2009,Victims of Incest Rape,1,0,0,0,1,0,0,1
Bihar,2009,Victims of Other Rape,928,12,19,32,764,101,0,928
Bihar,2010,Total Rape Victims,795,8,17,89,616,65,0,795
Bihar,2010,Victims of Incest Rape,2,1,1,0,0,0,0,2
Bihar,2010,Victims of Other Rape,793,7,16,89,616,65,0,793
Chandigarh,2001,Total Rape Victims,18,0,8,4,4,3,0,19
Chandigarh,2001,Victims of Incest Rape,2,0,0,0,2,0,0,2
Chandigarh,2001,Victims of Other Rape,16,0,8,4,2,3,0,17
Chandigarh,2002,Total Rape Victims,18,1,4,1,9,3,0,18
Chandigarh,2002,Victims of Incest Rape,2,0,0,1,1,0,0,2
Chandigarh,2002,Victims of Other Rape,16,1,4,0,8,3,0,16
Chandigarh,2003,Total Rape Victims,18,3,1,5,7,2,0,18
Chandigarh,2003,Victims of Incest Rape,1,1,0,0,0,0,0,1
Chandigarh,2003,Victims of Other Rape,17,2,1,5,7,2,0,17
Chandigarh,2004,Total Rape Victims,19,5,5,3,5,1,0,19
Chandigarh,2004,Victims of Incest Rape,1,0,1,0,0,0,0,1
Chandigarh,2004,Victims of Other Rape,18,5,4,3,5,1,0,18
Chandigarh,2005,Total Rape Victims,33,7,4,10,5,7,0,33
Chandigarh,2005,Victims of Incest Rape,1,0,0,1,0,0,0,1
Chandigarh,2005,Victims of Other Rape,32,7,4,9,5,7,0,32
Chandigarh,2006,Total Rape Victims,19,3,2,6,4,4,0,19
Chandigarh,2006,Victims of Incest Rape,5,1,1,2,1,0,0,5
Chandigarh,2006,Victims of Other Rape,14,2,1,4,3,4,0,14
Chandigarh,2007,Total Rape Victims,22,3,3,2,11,3,0,22
Chandigarh,2007,Victims of Incest Rape,2,1,1,0,0,0,0,2
Chandigarh,2007,Victims of Other Rape,20,2,2,2,11,3,0,20
Chandigarh,2008,Total Rape Victims,20,2,3,7,7,1,0,20
Chandigarh,2008,Victims of Incest Rape,3,0,0,2,1,0,0,3
Chandigarh,2008,Victims of Other Rape,17,2,3,5,6,1,0,17
Chandigarh,2009,Total Rape Victims,29,3,8,10,8,0,0,29
Chandigarh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2009,Victims of Other Rape,29,3,8,10,8,0,0,29
Chandigarh,2010,Total Rape Victims,31,4,8,4,15,0,0,31
Chandigarh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2010,Victims of Other Rape,31,4,8,4,15,0,0,31
Chhattisgarh,2001,Total Rape Victims,959,25,191,218,384,137,4,959
Chhattisgarh,2001,Victims of Incest Rape,6,0,3,1,1,1,0,6
Chhattisgarh,2001,Victims of Other Rape,953,25,188,217,383,136,4,953
Chhattisgarh,2002,Total Rape Victims,992,26,131,25,652,147,11,992
Chhattisgarh,2002,Victims of Incest Rape,63,2,13,18,16,11,3,63
Chhattisgarh,2002,Victims of Other Rape,929,24,118,7,636,136,8,929
Chhattisgarh,2003,Total Rape Victims,898,27,97,62,376,331,5,898
Chhattisgarh,2003,Victims of Incest Rape,39,1,2,16,13,7,0,39
Chhattisgarh,2003,Victims of Other Rape,859,26,95,46,363,324,5,859
Chhattisgarh,2004,Total Rape Victims,969,14,61,233,426,226,9,969
Chhattisgarh,2004,Victims of Incest Rape,78,2,6,30,30,9,1,78
Chhattisgarh,2004,Victims of Other Rape,891,12,55,203,396,217,8,891
Chhattisgarh,2005,Total Rape Victims,990,15,112,255,392,200,16,990
Chhattisgarh,2005,Victims of Incest Rape,110,1,10,33,39,27,0,110
Chhattisgarh,2005,Victims of Other Rape,880,14,102,222,353,173,16,880
Chhattisgarh,2006,Total Rape Victims,995,28,104,316,337,183,27,995
Chhattisgarh,2006,Victims of Incest Rape,97,6,12,33,29,15,2,97
Chhattisgarh,2006,Victims of Other Rape,898,22,92,283,308,168,25,898
Chhattisgarh,2007,Total Rape Victims,982,32,117,219,500,101,13,982
Chhattisgarh,2007,Victims of Incest Rape,63,2,10,31,14,6,0,63
Chhattisgarh,2007,Victims of Other Rape,919,30,107,188,486,95,13,919
Chhattisgarh,2008,Total Rape Victims,978,24,80,307,388,176,3,978
Chhattisgarh,2008,Victims of Incest Rape,31,0,3,15,12,1,0,31
Chhattisgarh,2008,Victims of Other Rape,947,24,77,292,376,175,3,947
Chhattisgarh,2009,Total Rape Victims,976,80,227,87,460,113,9,976
Chhattisgarh,2009,Victims of Incest Rape,24,1,2,8,6,5,2,24
Chhattisgarh,2009,Victims of Other Rape,952,79,225,79,454,108,7,952
Chhattisgarh,2010,Total Rape Victims,1012,24,87,271,424,190,16,1012
Chhattisgarh,2010,Victims of Incest Rape,21,0,2,3,13,3,0,21
Chhattisgarh,2010,Victims of Other Rape,991,24,85,268,411,187,16,991
Dadra & Nagar Haveli,2001,Total Rape Victims,6,0,0,3,3,0,0,6
Dadra & Nagar Haveli,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2001,Victims of Other Rape,6,0,0,3,3,0,0,6
Dadra & Nagar Haveli,2002,Total Rape Victims,4,1,1,1,1,0,0,4
Dadra & Nagar Haveli,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2002,Victims of Other Rape,4,1,1,1,1,0,0,4
Dadra & Nagar Haveli,2003,Total Rape Victims,1,0,0,0,1,0,0,1
Dadra & Nagar Haveli,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,Victims of Other Rape,1,0,0,0,1,0,0,1
Dadra & Nagar Haveli,2004,Total Rape Victims,7,0,0,0,6,1,0,7
Dadra & Nagar Haveli,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Victims of Other Rape,7,0,0,0,6,1,0,7
Dadra & Nagar Haveli,2005,Total Rape Victims,5,0,0,0,5,0,0,5
Dadra & Nagar Haveli,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Victims of Other Rape,5,0,0,0,5,0,0,5
Dadra & Nagar Haveli,2006,Total Rape Victims,6,2,1,2,1,0,0,6
Dadra & Nagar Haveli,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006,Victims of Other Rape,6,2,1,2,1,0,0,6
Dadra & Nagar Haveli,2007,Total Rape Victims,7,1,2,4,0,0,0,7
Dadra & Nagar Haveli,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,Victims of Other Rape,7,1,2,4,0,0,0,7
Dadra & Nagar Haveli,2008,Total Rape Victims,6,0,1,2,3,0,0,6
Dadra & Nagar Haveli,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2008,Victims of Other Rape,6,0,1,2,3,0,0,6
Dadra & Nagar Haveli,2009,Total Rape Victims,4,0,2,0,2,0,0,4
Dadra & Nagar Haveli,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Victims of Other Rape,4,0,2,0,2,0,0,4
Dadra & Nagar Haveli,2010,Total Rape Victims,3,1,1,1,0,0,0,3
Dadra & Nagar Haveli,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Victims of Other Rape,3,1,1,1,0,0,0,3
Daman & Diu,2001,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Total Rape Victims,5,2,0,3,0,0,0,5
Daman & Diu,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Victims of Other Rape,5,2,0,3,0,0,0,5
Daman & Diu,2004,Total Rape Victims,1,0,0,1,0,0,0,1
Daman & Diu,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2004,Victims of Other Rape,1,0,0,1,0,0,0,1
Daman & Diu,2005,Total Rape Victims,2,0,1,0,0,1,0,2
Daman & Diu,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2005,Victims of Other Rape,2,0,1,0,0,1,0,2
Daman & Diu,2006,Total Rape Victims,3,1,0,0,2,0,0,3
Daman & Diu,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2006,Victims of Other Rape,3,1,0,0,2,0,0,3
Daman & Diu,2007,Total Rape Victims,1,0,0,0,1,0,0,1
Daman & Diu,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2007,Victims of Other Rape,1,0,0,0,1,0,0,1
Daman & Diu,2008,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Total Rape Victims,1,1,0,0,0,0,0,1
Daman & Diu,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Victims of Other Rape,1,1,0,0,0,0,0,1
Daman & Diu,2010,Total Rape Victims,1,1,0,0,0,0,0,1
Daman & Diu,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2010,Victims of Other Rape,1,1,0,0,0,0,0,1
Delhi,2001,Total Rape Victims,381,48,81,154,59,41,0,383
Delhi,2001,Victims of Incest Rape,9,3,3,2,1,0,0,9
Delhi,2001,Victims of Other Rape,372,45,78,152,58,41,0,374
Delhi,2002,Total Rape Victims,403,35,54,52,217,49,0,407
Delhi,2002,Victims of Incest Rape,32,4,6,12,10,0,0,32
Delhi,2002,Victims of Other Rape,371,31,48,40,207,49,0,375
Delhi,2003,Total Rape Victims,490,26,50,76,321,17,0,490
Delhi,2003,Victims of Incest Rape,21,1,5,11,4,0,0,21
Delhi,2003,Victims of Other Rape,469,25,45,65,317,17,0,469
Delhi,2004,Total Rape Victims,551,60,126,77,282,6,0,551
Delhi,2004,Victims of Incest Rape,16,1,7,6,2,0,0,16
Delhi,2004,Victims of Other Rape,535,59,119,71,280,6,0,535
Delhi,2005,Total Rape Victims,658,60,120,55,404,25,2,666
Delhi,2005,Victims of Incest Rape,32,11,9,10,2,0,0,32
Delhi,2005,Victims of Other Rape,626,49,111,45,402,25,2,634
Delhi,2006,Total Rape Victims,623,70,111,267,155,21,2,626
Delhi,2006,Victims of Incest Rape,26,3,4,12,7,0,0,26
Delhi,2006,Victims of Other Rape,597,67,107,255,148,21,2,600
Delhi,2007,Total Rape Victims,598,76,94,228,179,24,1,602
Delhi,2007,Victims of Incest Rape,18,2,2,9,5,0,0,18
Delhi,2007,Victims of Other Rape,580,74,92,219,174,24,1,584
Delhi,2008,Total Rape Victims,466,71,95,135,133,30,6,470
Delhi,2008,Victims of Incest Rape,37,2,12,8,10,1,4,37
Delhi,2008,Victims of Other Rape,429,69,83,127,123,29,2,433
Delhi,2009,Total Rape Victims,469,47,72,188,141,20,1,469
Delhi,2009,Victims of Incest Rape,19,3,3,5,6,2,0,19
Delhi,2009,Victims of Other Rape,450,44,69,183,135,18,1,450
Delhi,2010,Total Rape Victims,507,51,79,174,168,34,1,507
Delhi,2010,Victims of Incest Rape,21,6,11,3,1,0,0,21
Delhi,2010,Victims of Other Rape,486,45,68,171,167,34,1,486
Goa,2001,Total Rape Victims,12,3,7,1,0,1,0,12
Goa,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2001,Victims of Other Rape,12,3,7,1,0,1,0,12
Goa,2002,Total Rape Victims,12,1,3,3,4,1,0,12
Goa,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2002,Victims of Other Rape,12,1,3,3,4,1,0,12
Goa,2003,Total Rape Victims,31,6,9,8,7,2,0,32
Goa,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2003,Victims of Other Rape,31,6,9,8,7,2,0,32
Goa,2004,Total Rape Victims,37,8,7,5,12,5,0,37
Goa,2004,Victims of Incest Rape,1,0,0,1,0,0,0,1
Goa,2004,Victims of Other Rape,36,8,7,4,12,5,0,36
Goa,2005,Total Rape Victims,20,4,4,7,4,1,0,20
Goa,2005,Victims of Incest Rape,1,1,0,0,0,0,0,1
Goa,2005,Victims of Other Rape,19,3,4,7,4,1,0,19
Goa,2006,Total Rape Victims,21,1,4,9,5,1,1,21
Goa,2006,Victims of Incest Rape,1,0,0,0,1,0,0,1
Goa,2006,Victims of Other Rape,20,1,4,9,4,1,1,20
Goa,2007,Total Rape Victims,20,4,4,7,4,1,0,20
Goa,2007,Victims of Incest Rape,1,0,0,1,0,0,0,1
Goa,2007,Victims of Other Rape,19,4,4,6,4,1,0,19
Goa,2008,Total Rape Victims,30,1,6,11,7,3,2,30
Goa,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2008,Victims of Other Rape,30,1,6,11,7,3,2,30
Goa,2009,Total Rape Victims,47,1,11,21,15,2,0,50
Goa,2009,Victims of Incest Rape,1,0,0,1,0,0,0,1
Goa,2009,Victims of Other Rape,46,1,11,20,15,2,0,49
Goa,2010,Total Rape Victims,36,4,5,14,11,0,2,36
Goa,2010,Victims of Incest Rape,2,0,0,2,0,0,0,2
Goa,2010,Victims of Other Rape,34,4,5,12,11,0,2,34
Gujarat,2001,Total Rape Victims,286,15,23,87,125,36,0,286
Gujarat,2001,Victims of Incest Rape,2,0,0,2,0,0,0,2
Gujarat,2001,Victims of Other Rape,284,15,23,85,125,36,0,284
Gujarat,2002,Total Rape Victims,267,16,16,43,176,17,0,268
Gujarat,2002,Victims of Incest Rape,10,2,4,2,2,0,0,10
Gujarat,2002,Victims of Other Rape,257,14,12,41,174,17,0,258
Gujarat,2003,Total Rape Victims,236,17,17,46,143,13,0,236
Gujarat,2003,Victims of Incest Rape,7,1,0,3,3,0,0,7
Gujarat,2003,Victims of Other Rape,229,16,17,43,140,13,0,229
Gujarat,2004,Total Rape Victims,339,12,27,57,194,47,2,339
Gujarat,2004,Victims of Incest Rape,14,0,2,2,7,3,0,14
Gujarat,2004,Victims of Other Rape,325,12,25,55,187,44,2,325
Gujarat,2005,Total Rape Victims,324,18,28,44,218,16,0,324
Gujarat,2005,Victims of Incest Rape,19,2,4,5,8,0,0,19
Gujarat,2005,Victims of Other Rape,305,16,24,39,210,16,0,305
Gujarat,2006,Total Rape Victims,354,20,30,62,213,28,1,354
Gujarat,2006,Victims of Incest Rape,16,0,2,0,14,0,0,16
Gujarat,2006,Victims of Other Rape,338,20,28,62,199,28,1,338
Gujarat,2007,Total Rape Victims,316,18,30,51,180,37,1,317
Gujarat,2007,Victims of Incest Rape,3,1,0,1,0,1,0,3
Gujarat,2007,Victims of Other Rape,313,17,30,50,180,36,1,314
Gujarat,2008,Total Rape Victims,374,15,27,57,217,57,1,374
Gujarat,2008,Victims of Incest Rape,4,0,1,2,1,0,0,4
Gujarat,2008,Victims of Other Rape,370,15,26,55,216,57,1,370
Gujarat,2009,Total Rape Victims,433,15,27,50,308,32,1,433
Gujarat,2009,Victims of Incest Rape,18,1,2,3,10,2,0,18
Gujarat,2009,Victims of Other Rape,415,14,25,47,298,30,1,415
Gujarat,2010,Total Rape Victims,408,22,28,53,261,42,2,408
Gujarat,2010,Victims of Incest Rape,4,1,0,2,1,0,0,4
Gujarat,2010,Victims of Other Rape,404,21,28,51,260,42,2,404
Haryana,2001,Total Rape Victims,398,34,62,125,134,40,3,398
Haryana,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Haryana,2001,Victims of Other Rape,398,34,62,125,134,40,3,398
Haryana,2002,Total Rape Victims,361,29,49,6,237,39,1,361
Haryana,2002,Victims of Incest Rape,52,0,6,3,39,4,0,52
Haryana,2002,Victims of Other Rape,309,29,43,3,198,35,1,309
Haryana,2003,Total Rape Victims,353,2,5,70,248,28,0,353
Haryana,2003,Victims of Incest Rape,14,0,0,3,11,0,0,14
Haryana,2003,Victims of Other Rape,339,2,5,67,237,28,0,339
Haryana,2004,Total Rape Victims,386,2,2,20,315,47,0,386
